Wall time,Step,Value
1720315767.4781663,81992,228.0
1720315767.7746677,82056,198.0
1720315770.1566057,82584,247.0
1720315770.963179,82752,246.0
1720315771.787096,82928,201.0
1720315772.6761057,83120,199.0
1720316459.7527418,83552,228.0
1720316459.8641858,83576,198.0
1720316460.1472058,83640,198.0
1720316463.119501,84328,197.0
1720316463.5251715,84416,229.0
1720316464.0158587,84520,199.0
1720316464.1297786,84544,124.0
1720316464.4574044,84616,122.0
1720316464.8354478,84696,197.0
1720316466.903527,85176,200.0
1720316470.3277788,85928,200.0
1720316470.7179453,86008,199.0
1720316471.2473252,86112,199.0
1720316472.026239,86280,198.0
1720317157.4430385,86576,245.0
1720317157.8143668,86656,197.0
1720317159.2457545,86952,222.0
1720317161.8797002,87512,198.0
1720317162.7936504,87704,199.0
1720317162.9245858,87728,200.0
1720317165.3280735,88232,197.0
1720317165.402616,88248,246.0
1720317166.769654,88544,246.0
1720317167.8884282,88784,229.0
1720317169.925139,89232,123.0
1720317170.2401173,89304,200.0
1720317170.2836862,89312,198.0
1720317170.6967585,89400,197.0
1720317857.7329628,89808,197.0
1720317859.1996608,90144,200.0
1720317860.2435017,90376,199.0
1720317862.1036983,90808,197.0
1720317862.5394588,90904,199.0
1720317864.2685645,91280,247.0
1720317864.3529038,91296,246.0
1720317866.288666,91728,198.0
1720317866.4981048,91776,246.0
1720317866.541309,91784,298.0
1720317870.780632,92760,122.0
1720318551.5238137,92864,198.0
1720318552.3668206,93048,268.0
1720318552.978363,93184,297.0
1720318553.362667,93272,247.0
1720318554.8114562,93616,230.0
1720318555.1777837,93696,246.0
1720318556.357033,93960,251.0
1720318558.2029166,94384,203.0
1720318559.311219,94632,198.0
1720318560.2480254,94848,248.0
1720318560.356682,94872,200.0
1720318561.5849514,95160,247.0
1720318561.7743583,95200,198.0
1720318563.4391568,95568,201.0
1720318565.3964503,96000,202.0
1720319250.0872,96272,205.0
1720319252.077264,96736,197.0
1720319252.7166145,96888,252.0
1720319253.9699569,97184,248.0
1720319254.140941,97224,297.0
1720319255.791775,97584,198.0
1720319256.4133239,97712,249.0
1720319259.3311214,98344,201.0
1720319260.7201428,98640,296.0
1720319261.6789284,98848,245.0
1720319263.0459104,99152,246.0
1720319263.1207786,99168,248.0
1720319263.232653,99192,246.0
1720319944.6669497,99296,198.0
1720319945.8069358,99552,246.0
1720319946.3005815,99656,127.0
1720319947.579424,99944,200.0
